x N0 N1 N2 N3 N4 N5 N6
0 1 0 0 0 0 0 0 
0.002 0.9801 0.01985 5e-05 0 0 0 0 
0.004 0.9604 0.0394 0.0002 0 0 0 0 
0.006 0.9409 0.05865 0.00045 0 0 0 0 
0.008 0.9216 0.0776 0.0008 0 0 0 0 
0.01 0.9025 0.09625 0.00125 0 0 0 0 
0.012 0.8836 0.1146 0.0018 0 0 0 0 
0.014 0.8649 0.13265 0.00245 0 0 0 0 
0.016 0.8464 0.1504 0.0032 0 0 0 0 
0.018 0.8281 0.16785 0.00405 0 0 0 0 
0.02 0.81 0.185 0.005 0 0 0 0 
0.022 0.7921 0.20185 0.00605 0 0 0 0 
0.024 0.7744 0.2184 0.0072 0 0 0 0 
0.026 0.7569 0.23465 0.00845 0 0 0 0 
0.028 0.7396 0.2506 0.0098 0 0 0 0 
0.03 0.7225 0.26625 0.01125 0 0 0 0 
0.032 0.7056 0.2816 0.0128 0 0 0 0 
0.034 0.6889 0.29665 0.01445 0 0 0 0 
0.036 0.6724 0.3114 0.0162 0 0 0 0 
0.038 0.6561 0.32585 0.01805 0 0 0 0 
0.04 0.64 0.34 0.02 0 0 0 0 
0.042 0.6241 0.35385 0.02205 0 0 0 0 
0.044 0.6084 0.3674 0.0242 0 0 0 0 
0.046 0.5929 0.38065 0.02645 0 0 0 0 
0.048 0.5776 0.3936 0.0288 0 0 0 0 
0.05 0.5625 0.40625 0.03125 0 0 0 0 
0.052 0.5476 0.4186 0.0338 0 0 0 0 
0.054 0.5329 0.43065 0.03645 0 0 0 0 
0.056 0.5184 0.4424 0.0392 0 0 0 0 
0.058 0.5041 0.45385 0.04205 0 0 0 0 
0.06 0.49 0.465 0.045 0 0 0 0 
0.062 0.4761 0.47585 0.04805 0 0 0 0 
0.064 0.4624 0.4864 0.0512 0 0 0 0 
0.066 0.4489 0.49665 0.05445 0 0 0 0 
0.068 0.4356 0.5066 0.0578 0 0 0 0 
0.07 0.4225 0.51625 0.06125 0 0 0 0 
0.072 0.4096 0.5256 0.0648 0 0 0 0 
0.074 0.3969 0.53465 0.06845 0 0 0 0 
0.076 0.3844 0.5434 0.0722 0 0 0 0 
0.078 0.3721 0.55185 0.07605 0 0 0 0 
0.08 0.36 0.56 0.08 0 0 0 0 
0.082 0.3481 0.56785 0.08405 0 0 0 0 
0.084 0.3364 0.5754 0.0882 0 0 0 0 
0.086 0.3249 0.58265 0.09245 0 0 0 0 
0.088 0.3136 0.5896 0.0968 0 0 0 0 
0.09 0.3025 0.59625 0.10125 0 0 0 0 
0.092 0.2916 0.6026 0.1058 0 0 0 0 
0.094 0.2809 0.60865 0.11045 0 0 0 0 
0.096 0.2704 0.6144 0.1152 0 0 0 0 
0.098 0.2601 0.61985 0.12005 0 0 0 0 
0.1 0.25 0.625 0.125 0 0 0 0 
0.102 0.2401 0.62985 0.13005 0 0 0 0 
0.104 0.2304 0.6344 0.1352 0 0 0 0 
0.106 0.2209 0.63865 0.14045 0 0 0 0 
0.108 0.2116 0.6426 0.1458 0 0 0 0 
0.11 0.2025 0.64625 0.15125 0 0 0 0 
0.112 0.1936 0.6496 0.1568 0 0 0 0 
0.114 0.1849 0.65265 0.16245 0 0 0 0 
0.116 0.1764 0.6554 0.1682 0 0 0 0 
0.118 0.1681 0.65785 0.17405 0 0 0 0 
0.12 0.16 0.66 0.18 0 0 0 0 
0.122 0.1521 0.66185 0.18605 0 0 0 0 
0.124 0.1444 0.6634 0.1922 0 0 0 0 
0.126 0.1369 0.66465 0.19845 0 0 0 0 
0.128 0.1296 0.6656 0.2048 0 0 0 0 
0.13 0.1225 0.66625 0.21125 0 0 0 0 
0.132 0.1156 0.6666 0.2178 0 0 0 0 
0.134 0.1089 0.66665 0.22445 0 0 0 0 
0.136 0.1024 0.6664 0.2312 0 0 0 0 
0.138 0.0961 0.66585 0.23805 0 0 0 0 
0.14 0.09 0.665 0.245 0 0 0 0 
0.142 0.0841 0.66385 0.25205 0 0 0 0 
0.144 0.0784 0.6624 0.2592 0 0 0 0 
0.146 0.0729 0.66065 0.26645 0 0 0 0 
0.148 0.0676 0.6586 0.2738 0 0 0 0 
