x N3 N4 N5 
0.333333 1 0 0 
0.35 0.9025 0.095 0.0025 
0.366667 0.81 0.18 0.01 
0.383333 0.7225 0.255 0.0225 
0.4 0.64 0.32 0.04 
0.416667 0.5625 0.375 0.0625 
0.433333 0.49 0.42 0.09 
0.45 0.4225 0.455 0.1225 
0.466667 0.36 0.48 0.16 
0.483333 0.3025 0.495 0.2025 
0.5 0.25 0.5 0.25 
0.516667 0.2025 0.495 0.3025 
0.533333 0.16 0.48 0.36 
0.55 0.1225 0.455 0.4225 
0.566667 0.09 0.42 0.49 
0.583333 0.0625 0.375 0.5625 
0.6 0.04 0.32 0.64 
0.616667 0.0225 0.255 0.7225 
0.633333 0.01 0.18 0.81 
0.65 0.0025 0.095 0.9025 
0.666667 0 0 1 
