x N0 N1 N2 N3 N4 
0 1 0 0 0 0 
0.0166667 0.9025 0.09625 0.00125 0 0 
0.0333333 0.81 0.185 0.005 0 0 
0.05 0.7225 0.26625 0.01125 0 0 
0.0666667 0.64 0.34 0.02 0 0 
0.0833333 0.5625 0.40625 0.03125 0 0 
0.1 0.49 0.465 0.045 0 0 
0.116667 0.4225 0.51625 0.06125 0 0 
0.133333 0.36 0.56 0.08 0 0 
0.15 0.3025 0.59625 0.10125 0 0 
0.166667 0.25 0.625 0.125 0 0 
0.183333 0.2025 0.64625 0.15125 0 0 
0.2 0.16 0.66 0.18 0 0 
0.216667 0.1225 0.66625 0.21125 0 0 
0.233333 0.09 0.665 0.245 0 0 
0.25 0.0625 0.65625 0.28125 0 0 
0.266667 0.04 0.64 0.32 0 0 
0.283333 0.0225 0.61625 0.36125 0 0 
0.3 0.01 0.585 0.405 0 0 
0.316667 0.0025 0.54625 0.45125 0 0 
0.333333 0 0.5 0.5 0 0 
0.333333 0 0.5 0.5 0 0 
0.35 0 0.45125 0.5475 0.00125 0 
0.366667 0 0.405 0.59 0.005 0 
0.383333 0 0.36125 0.6275 0.01125 0 
0.4 0 0.32 0.66 0.02 0 
0.416667 0 0.28125 0.6875 0.03125 0 
0.433333 0 0.245 0.71 0.045 0 
0.45 0 0.21125 0.7275 0.06125 0 
0.466667 0 0.18 0.74 0.08 0 
0.483333 0 0.15125 0.7475 0.10125 0 
0.5 0 0.125 0.75 0.125 0 
0.516667 0 0.10125 0.7475 0.15125 0 
0.533333 0 0.08 0.74 0.18 0 
0.55 0 0.06125 0.7275 0.21125 0 
0.566667 0 0.045 0.71 0.245 0 
0.583333 0 0.03125 0.6875 0.28125 0 
0.6 0 0.02 0.66 0.32 0 
0.616667 0 0.01125 0.6275 0.36125 0 
0.633333 0 0.005 0.59 0.405 0 
0.65 0 0.00125 0.5475 0.45125 0 
0.666667 0 0 0.5 0.5 0 
0.666667 0 0 0.5 0.5 0 
0.683333 0 0 0.45125 0.54625 0.0025 
0.7 0 0 0.405 0.585 0.01 
0.716667 0 0 0.36125 0.61625 0.0225 
0.733333 0 0 0.32 0.64 0.04 
0.75 0 0 0.28125 0.65625 0.0625 
0.766667 0 0 0.245 0.665 0.09 
0.783333 0 0 0.21125 0.66625 0.1225 
0.8 0 0 0.18 0.66 0.16 
0.816667 0 0 0.15125 0.64625 0.2025 
0.833333 0 0 0.125 0.625 0.25 
0.85 0 0 0.10125 0.59625 0.3025 
0.866667 0 0 0.08 0.56 0.36 
0.883333 0 0 0.06125 0.51625 0.4225 
0.9 0 0 0.045 0.465 0.49 
0.916667 0 0 0.03125 0.40625 0.5625 
0.933333 0 0 0.02 0.34 0.64 
0.95 0 0 0.01125 0.26625 0.7225 
0.966667 0 0 0.005 0.185 0.81 
0.983333 0 0 0.00125 0.09625 0.9025 
1 0 0 0 0 1 
