x N1 N2 N3 N4 N5 N6 N7
0 6.67588 -3.0355 1.13802 -0.492662 0.235517 -0.160853 0.0742045 
0.01 5.73423 -2.2084 0.798036 -0.343964 0.164359 -0.112249 0.0517819 
0.02 4.85158 -1.44416 0.490157 -0.209598 0.100073 -0.0683398 0.0315254 
0.03 4.02792 -0.742775 0.214388 -0.0895661 0.0426609 -0.0291262 0.0134352 
0.04 3.26325 -0.104246 -0.0292716 0.0161328 -0.00787888 0.00539205 -0.00248879 
0.05 2.55757 0.471427 -0.240822 0.107499 -0.0515458 0.035215 -0.0162466 
0.06 1.91088 0.984242 -0.420262 0.184531 -0.08834 0.0603426 -0.0278382 
0.07 1.32318 1.4342 -0.567593 0.247231 -0.118261 0.0807749 -0.0372635 
0.08 0.794475 1.8213 -0.682814 0.295597 -0.14131 0.0965118 -0.0445227 
0.09 0.324758 2.14555 -0.765926 0.32963 -0.157486 0.107553 -0.0496157 
0.1 -0.0859686 2.40694 -0.816928 0.34933 -0.166789 0.1139 -0.0525424 
0.11 -0.437704 2.60547 -0.835821 0.354697 -0.169219 0.115551 -0.0533029 
0.12 -0.730449 2.74114 -0.822604 0.345731 -0.164777 0.112506 -0.0518972 
0.13 -0.964203 2.81396 -0.777278 0.322432 -0.153461 0.104767 -0.0483253 
0.14 -1.13897 2.82392 -0.699842 0.284799 -0.135273 0.0923315 -0.0425872 
0.15 -1.25474 2.77102 -0.590296 0.232833 -0.110213 0.0752011 -0.0346829 
0.16 -1.31152 2.65527 -0.448641 0.166535 -0.078279 0.0533754 -0.0246124 
0.17 -1.30931 2.47666 -0.274877 0.0859025 -0.0394727 0.0268543 -0.0123756 
0.18 -1.24811 2.23519 -0.0690024 -0.00906267 0.00620649 -0.00436205 0.00202732 
0.19 -1.12792 1.93087 0.168981 -0.118361 0.0587584 -0.0402738 0.0185965 
0.2 -0.948741 1.56369 0.439074 -0.241993 0.118183 -0.0808808 0.0373319 
0.21 -0.747319 1.1794 0.712006 -0.363824 0.176602 -0.120791 0.0557447 
0.22 -0.560409 0.823772 0.958503 -0.467724 0.226135 -0.154613 0.0713461 
0.23 -0.388009 0.496791 1.17857 -0.55369 0.266784 -0.182345 0.0841362 
0.24 -0.230119 0.198462 1.3722 -0.621725 0.298548 -0.203989 0.0941148 
0.25 -0.0867401 -0.0712159 1.53939 -0.671826 0.321426 -0.219545 0.101282 
0.26 0.0421284 -0.312242 1.68016 -0.703996 0.33542 -0.229011 0.105638 
0.27 0.156486 -0.524617 1.79448 -0.718232 0.340529 -0.232389 0.107183 
0.28 0.256334 -0.708341 1.88238 -0.714537 0.336753 -0.229678 0.105916 
0.29 0.341671 -0.863413 1.94384 -0.692908 0.324092 -0.220878 0.101838 
0.3 0.412497 -0.989833 1.97887 -0.653348 0.302545 -0.205989 0.0949482 
0.31 0.468813 -1.0876 1.98746 -0.595854 0.272114 -0.185012 0.0852473 
0.32 0.510618 -1.15672 1.96962 -0.520428 0.232798 -0.157945 0.072735 
0.33 0.537913 -1.19719 1.92535 -0.42707 0.184597 -0.12479 0.0574113 
