%% LaTeX2e file `Q3_p=3.txt'
%% generated by the `filecontents' environment
%% from source `Q3_p=3' on 2018/10/23.
%%
    X Y1 Y2
    -1 -1 -1
    -0.98 -0.848216 -0.88298
    -0.96 -0.707624 -0.77184
    -0.94 -0.577869 -0.66646
    -0.92 -0.458592 -0.56672
    -0.9 -0.349438 -0.4725
    -0.88 -0.250048 -0.38368
    -0.86 -0.160067 -0.30014
    -0.84 -0.079136 -0.22176
    -0.82 -0.0068995 -0.14842
    -0.8 0.057 -0.08
    -0.78 0.112919 -0.01638
    -0.76 0.161216 0.04256
    -0.74 0.202246 0.09694
    -0.72 0.236368 0.14688
    -0.7 0.263938 0.1925
    -0.68 0.285312 0.23392
    -0.66 0.300849 0.27126
    -0.64 0.310904 0.30464
    -0.62 0.315836 0.33418
    -0.6 0.316 0.36
    -0.58 0.311755 0.38222
    -0.56 0.303456 0.40096
    -0.54 0.291462 0.41634
    -0.52 0.276128 0.42848
    -0.5 0.257813 0.4375
    -0.48 0.236872 0.44352
    -0.46 0.213664 0.44666
    -0.44 0.188544 0.44704
    -0.42 0.16187 0.44478
    -0.4 0.134 0.44
    -0.38 0.105289 0.43282
    -0.36 0.076096 0.42336
    -0.34 0.0467765 0.41174
    -0.32 0.017688 0.39808
    -0.3 -0.0108125 0.3825
    -0.28 -0.038368 0.36512
    -0.26 -0.0646215 0.34606
    -0.24 -0.089216 0.32544
    -0.22 -0.111795 0.30338
    -0.2 -0.132 0.28
    -0.18 -0.149476 0.25542
    -0.16 -0.163864 0.22976
    -0.14 -0.174809 0.20314
    -0.12 -0.181952 0.17568
    -0.1 -0.184938 0.1475
    -0.08 -0.183408 0.11872
    -0.06 -0.177007 0.08946
    -0.04 -0.165376 0.05984
    -0.02 -0.14816 0.02998
    0 0.125 -0
    0.02 0.14816 -0.02998
    0.04 0.165376 -0.05984
    0.06 0.177007 -0.08946
    0.08 0.183408 -0.11872
    0.1 0.184938 -0.1475
    0.12 0.181952 -0.17568
    0.14 0.174809 -0.20314
    0.16 0.163864 -0.22976
    0.18 0.149476 -0.25542
    0.2 0.132 -0.28
    0.22 0.111795 -0.30338
    0.24 0.089216 -0.32544
    0.26 0.0646215 -0.34606
    0.28 0.038368 -0.36512
    0.3 0.0108125 -0.3825
    0.32 -0.017688 -0.39808
    0.34 -0.0467765 -0.41174
    0.36 -0.076096 -0.42336
    0.38 -0.10529 -0.43282
    0.4 -0.134 -0.44
    0.42 -0.16187 -0.44478
    0.44 -0.188544 -0.44704
    0.46 -0.213663 -0.44666
    0.48 -0.236872 -0.44352
    0.5 -0.257813 -0.4375
    0.52 -0.276128 -0.42848
    0.54 -0.291461 -0.41634
    0.56 -0.303456 -0.40096
    0.58 -0.311754 -0.38222
    0.6 -0.316 -0.36
    0.62 -0.315835 -0.33418
    0.64 -0.310904 -0.30464
    0.66 -0.300848 -0.27126
    0.68 -0.285312 -0.23392
    0.7 -0.263938 -0.1925
    0.72 -0.236368 -0.14688
    0.74 -0.202247 -0.09694
    0.76 -0.161216 -0.04256
    0.78 -0.112919 0.01638
    0.8 -0.057 0.08
    0.82 0.0068995 0.14842
    0.84 0.079136 0.22176
    0.86 0.160067 0.30014
    0.88 0.250048 0.38368
    0.9 0.349438 0.4725
    0.92 0.458592 0.56672
    0.94 0.577868 0.66646
    0.96 0.707624 0.77184
    0.98 0.848216 0.88298
    1 1 1
