x N6 N7 N8 
0.666667 0.5 0.5 0 
0.683333 0.45125 0.54625 0.0025 
0.7 0.405 0.585 0.01 
0.716667 0.36125 0.61625 0.0225 
0.733333 0.32 0.64 0.04 
0.75 0.28125 0.65625 0.0625 
0.766667 0.245 0.665 0.09 
0.783333 0.21125 0.66625 0.1225 
0.8 0.18 0.66 0.16 
0.816667 0.15125 0.64625 0.2025 
0.833333 0.125 0.625 0.25 
0.85 0.10125 0.59625 0.3025 
0.866667 0.08 0.56 0.36 
0.883333 0.06125 0.51625 0.4225 
0.9 0.045 0.465 0.49 
0.916667 0.03125 0.40625 0.5625 
0.933333 0.02 0.34 0.64 
0.95 0.01125 0.26625 0.7225 
0.966667 0.005 0.185 0.81 
0.983333 0.00125 0.09625 0.9025 
1 0 0 1 
