f a b c
0 0 0 0 
1 1.25683 1.47132 1.49394
2 1.70147 2.2173 2.29383
3 1.92763 2.64132 2.79126
4 2.06733 2.90497 3.10528
5 2.1654 3.08818 3.30937
6 2.24045 3.22855 3.45127
7 2.30135 3.34418 3.55466
8 2.35308 3.4456 3.6314
9 2.39916 3.54202 3.68681
10 2.44464 3.65839 3.71695
11 2.54433 4.17135 3.52006
12 2.58261 4.27383 3.45592
13 2.60931 4.33687 3.41466
14 2.63034 4.38362 3.38375
15 2.64786 4.42121 3.35898
16 2.66295 4.45288 3.33831
17 2.67627 4.48037 3.32057
18 2.68824 4.50478 3.305
19 2.69913 4.52679 3.29111
20 2.70915 4.54689 3.27853
