%% LaTeX2e file `T-beam-bezier-error0.txt'
%% generated by the `filecontents' environment
%% from source `T-beam_angle_coarse' on 2019/06/27.
%%
    X Y
 0 3.04207e-12
 0.2 7.43338e-07
 0.4 9.24993e-07
 0.6 7.06408e-07
 0.8 2.49001e-07
 1 2.8582e-07
 1.2 7.36653e-07
 1.4 9.58919e-07
 1.6 9.54489e-07
 1.8 7.99422e-07
 2 5.56497e-07
 2.2 2.79529e-07
 2.4 2.21874e-08
 2.6 1.63471e-07
 2.8 2.62426e-07
 3 2.96684e-07
 3.2 2.89863e-07
 3.4 2.65416e-07
 3.6 2.36996e-07
 3.8 2.03084e-07
 4 1.62907e-07
 4.2 1.19686e-07
 4.4 7.70987e-08
 4.6 3.88231e-08
 4.8 8.53484e-09
 5 1.00918e-08
 5.2 1.52232e-08
 5.4 1.23868e-08
 5.6 8.94935e-09
 5.8 1.22767e-08
 6 2.97338e-08
 6.2 6.86848e-08
 6.4 1.32024e-07
 6.6 1.83751e-07
 6.8 1.72009e-07
 7 9.32295e-08
 7.2 2.48923e-08
 7.4 1.54141e-07
 7.6 2.66385e-07
 7.8 3.35444e-07
 8 3.37087e-07
 8.2 2.4717e-07
 8.4 4.25971e-08
 8.6 2.36821e-07
 8.8 4.54258e-07
 9 5.23893e-07
 9.2 4.75243e-07
 9.4 3.51075e-07
 9.6 1.94156e-07
 9.8 4.72519e-08
 10 4.68722e-08
 10.2 6.13386e-08
 10.4 3.28142e-08
 10.6 1.38511e-08
 10.8 5.69992e-08
 11 2.14806e-07
 11.2 5.39818e-07
 11.4 1.05019e-06
 11.6 1.46483e-06
 11.8 1.38125e-06
 12 7.76029e-07
 12.2 1.28914e-07
 12.4 1.10758e-06
 12.6 1.93557e-06
 12.8 2.42552e-06
 13 2.42704e-06
 13.2 1.79139e-06
 13.4 3.76975e-07
 13.6 1.52881e-06
 13.8 2.97704e-06
 14 3.37163e-06
 14.2 2.91284e-06
 14.4 1.89239e-06
 14.6 6.01994e-07
 14.8 6.66656e-07
 15 1.62187e-06
 15.2 2.09664e-06
 15.4 2.42352e-06
 15.6 3.06019e-06
 15.8 4.46433e-06
 16 7.09369e-06
 16.2 1.1406e-05
 16.4 1.77011e-05
 16.6 2.48962e-05
 16.8 3.11823e-05
 17 3.46155e-05
 17.2 3.31698e-05
 17.4 2.48191e-05
 17.6 7.66722e-06
 17.8 1.72276e-05
 18 4.58457e-05
 18.2 7.40408e-05
 18.4 9.76079e-05
 18.6 0.000108653
 18.8 9.36276e-05
 19 4.86351e-05
 19.2 1.046e-05
 19.4 6.55145e-05
 19.6 9.83817e-05
 19.8 9.0912e-05
