%% LaTeX2e file `T-beam-bezier-error1.txt'
%% generated by the `filecontents' environment
%% from source `T-beam_angle_fine' on 2019/06/27.
%%
    X Y
 0 4.56168e-13
 0.2 1.2778e-06
 0.4 3.5411e-07
 0.6 1.02028e-06
 0.8 1.36706e-06
 1 7.97034e-07
 1.2 1.21138e-08
 1.4 4.49282e-07
 1.6 4.58691e-07
 1.8 2.7015e-07
 2 1.01466e-07
 2.2 2.30886e-08
 2.4 9.44046e-10
 2.6 6.14033e-10
 2.8 1.84472e-10
 3 6.88417e-10
 3.2 1.2254e-09
 3.4 1.41846e-09
 3.6 1.79042e-09
 3.8 2.0968e-09
 4 2.11939e-09
 4.2 1.83857e-09
 4.4 1.47233e-09
 4.6 1.50963e-09
 4.8 1.81322e-09
 5 2.12421e-09
 5.2 2.24867e-09
 5.4 2.25574e-09
 5.6 2.28065e-09
 5.8 2.39857e-09
 6 2.38995e-09
 6.2 2.29044e-09
 6.4 2.27882e-09
 6.6 2.4208e-09
 6.8 2.69136e-09
 7 2.73163e-09
 7.2 2.48885e-09
 7.4 2.3007e-09
 7.6 2.49633e-09
 7.8 3.0054e-09
 8 3.35797e-09
 8.2 3.08476e-09
 8.4 2.52519e-09
 8.6 2.51018e-09
 8.8 2.95259e-09
 9 3.52518e-09
 9.2 3.60474e-09
 9.4 3.59188e-09
 9.6 5.14751e-09
 9.8 6.62688e-09
 10 5.7524e-09
 10.2 1.41126e-09
 10.4 2.85092e-09
 10.6 2.32428e-09
 10.8 5.44488e-09
 11 1.12159e-08
 11.2 1.08106e-08
 11.4 4.60148e-09
 11.6 2.2657e-09
 11.8 3.45095e-09
 12 6.11739e-09
 12.2 1.20627e-08
 12.4 1.25812e-08
 12.6 6.47068e-10
 12.8 2.16855e-08
 13 3.03416e-08
 13.2 6.72711e-09
 13.4 2.78787e-08
 13.6 3.02718e-08
 13.8 8.86785e-09
 14 1.7584e-08
 14.2 1.97579e-08
 14.4 2.23249e-08
 14.6 1.12173e-07
 14.8 1.93777e-07
 15 1.36894e-07
 15.2 1.2104e-07
 15.4 3.71883e-07
 15.6 3.39837e-07
 15.8 1.15283e-07
 16 4.26081e-07
 16.2 2.985e-07
 16.4 2.67851e-07
 16.6 7.01319e-07
 16.8 2.14974e-07
 17 1.04516e-06
 17.2 2.09392e-06
 17.4 1.75789e-06
 17.6 1.03585e-06
 17.8 4.95744e-06
 18 6.27496e-06
 18.2 1.28319e-06
 18.4 7.82611e-06
 18.6 1.26937e-05
 18.8 7.59914e-06
 19 5.73785e-06
 19.2 1.17241e-05
 19.4 6.87896e-06
 19.6 8.06583e-06
 19.8 2.22831e-07
