%% LaTeX2e file `T-beam-global-error0.txt'
%% generated by the `filecontents' environment
%% from source `T-beam_angle_coarse' on 2019/06/27.
%%
 X Y
 0 6.98385e-12
 0.2 2.97195e-07
 0.4 3.00855e-07
 0.6 1.10224e-07
 0.8 1.75454e-07
 1 4.56931e-07
 1.2 6.3495e-07
 1.4 6.2141e-07
 1.6 4.25368e-07
 1.8 1.07004e-07
 2 2.60174e-07
 2.2 5.94321e-07
 2.4 8.13451e-07
 2.6 8.38742e-07
 2.8 6.64157e-07
 3 3.56424e-07
 3.2 1.45747e-08
 3.4 3.78866e-07
 3.6 6.60351e-07
 3.8 7.73839e-07
 4 6.82631e-07
 4.2 4.4578e-07
 4.4 1.33332e-07
 4.6 1.84675e-07
 4.8 4.38211e-07
 5 5.57252e-07
 5.2 4.94838e-07
 5.4 2.96201e-07
 5.6 2.96165e-08
 5.8 2.3665e-07
 6 4.34336e-07
 6.2 4.9519e-07
 6.4 3.63476e-07
 6.6 9.23453e-08
 6.8 2.1161e-07
 7 4.71547e-07
 7.2 6.30118e-07
 7.4 6.30307e-07
 7.6 4.18843e-07
 7.8 2.8415e-08
 8 4.22383e-07
 8.2 8.11229e-07
 8.4 1.01655e-06
 8.6 9.61548e-07
 8.8 6.39143e-07
 9 9.14416e-08
 9.2 5.55704e-07
 9.4 1.16685e-06
 9.6 1.60656e-06
 9.8 1.73941e-06
 10 1.42998e-06
 10.2 6.08624e-07
 10.4 5.31558e-07
 10.6 1.73187e-06
 10.8 2.73364e-06
 11 3.27819e-06
 11.2 3.10688e-06
 11.4 1.99763e-06
 11.6 4.54974e-08
 11.8 2.46762e-06
 12 4.98079e-06
 12.2 6.75392e-06
 12.4 7.04397e-06
 12.6 5.14476e-06
 12.8 1.19634e-06
 13 3.81586e-06
 13.2 8.86976e-06
 13.4 1.29381e-05
 13.6 1.46775e-05
 13.8 1.22653e-05
 14 5.13361e-06
 14.2 4.7689e-06
 14.4 1.52051e-05
 14.6 2.39379e-05
 14.8 2.87302e-05
 15 2.7345e-05
 15.2 1.8431e-05
 15.4 4.17721e-06
 15.6 1.23435e-05
 15.8 2.80587e-05
 16 3.98959e-05
 16.2 4.47834e-05
 16.4 4.01686e-05
 16.6 2.80046e-05
 16.8 1.243e-05
 17 3.91709e-06
 17.2 1.9378e-05
 17.4 3.23102e-05
 17.6 4.11091e-05
 17.8 4.50392e-05
 18 4.42316e-05
 18.2 3.88551e-05
 18.4 2.90466e-05
 18.6 1.30126e-05
 18.8 1.39773e-05
 19 4.99186e-05
 19.2 7.92289e-05
 19.4 8.47692e-05
 19.6 4.94025e-05
 19.8 4.4006e-05
