%% LaTeX2e file `T-beam-global-error1.txt'
%% generated by the `filecontents' environment
%% from source `T-beam_angle_fine' on 2019/06/27.
%%
 X Y
 0 6.25341e-12
 0.2 2.88939e-07
 0.4 1.71406e-07
 0.6 6.07464e-07
 0.8 3.92524e-07
 1 2.40952e-07
 1.2 7.39005e-07
 1.4 6.16432e-07
 1.6 2.98257e-08
 1.8 5.33552e-07
 2 6.15954e-07
 2.2 2.40898e-07
 2.4 2.1977e-07
 2.6 3.9962e-07
 2.8 2.31882e-07
 3 5.06459e-08
 3.2 2.05608e-07
 3.4 1.44895e-07
 3.6 6.14321e-09
 3.8 1.07776e-07
 4 8.86686e-08
 4.2 1.01072e-08
 4.4 5.16788e-08
 4.6 4.85241e-08
 4.8 8.26322e-09
 5 2.82896e-08
 5.2 3.07818e-08
 5.4 1.06324e-08
 5.6 1.0309e-08
 5.8 1.3913e-08
 6 3.7762e-09
 6.2 8.26626e-09
 6.4 1.15038e-08
 6.6 6.49867e-09
 6.8 3.38735e-10
 7 2.47793e-09
 7.2 5.68836e-10
 7.4 4.68811e-09
 7.6 5.82123e-09
 7.8 3.49481e-09
 8 8.19939e-10
 8.2 9.89365e-10
 8.4 3.8629e-09
 8.6 5.86272e-09
 8.8 4.96794e-09
 9 1.32569e-09
 9.2 1.027e-09
 9.4 8.82895e-10
 9.6 5.68826e-09
 9.8 9.70713e-09
 10 8.95802e-09
 10.2 1.41725e-09
 10.4 7.11576e-09
 10.6 8.88843e-09
 10.8 2.50841e-09
 11 2.35079e-08
 11.2 3.34253e-08
 11.4 9.91777e-09
 11.6 3.30548e-08
 11.8 6.04361e-08
 12 1.61883e-08
 12.2 7.72011e-08
 12.4 1.27974e-07
 12.6 4.83144e-08
 12.8 1.23645e-07
 13 2.23858e-07
 13.2 8.79523e-08
 13.4 2.16966e-07
 13.6 3.81391e-07
 13.8 1.98844e-07
 14 2.97538e-07
 14.2 6.30659e-07
 14.4 3.89061e-07
 14.6 3.69151e-07
 14.8 1.03437e-06
 15 9.1005e-07
 15.2 3.58972e-07
 15.4 1.76326e-06
 15.6 1.95252e-06
 15.8 7.93117e-08
 16 3.16309e-06
 16.2 4.28776e-06
 16.4 5.91103e-07
 16.6 5.52707e-06
 16.8 8.79953e-06
 17 2.8674e-06
 17.2 9.29892e-06
 17.4 1.71712e-05
 17.6 1.05933e-05
 17.8 8.19379e-06
 18 2.45555e-05
 18.2 2.36408e-05
 18.4 4.98856e-06
 18.6 1.54846e-05
 18.8 2.61064e-05
 19 2.16902e-05
 19.2 8.67713e-06
 19.4 1.175e-05
 19.6 3.72401e-05
 19.8 1.98143e-05
